Engine FuelType Sulfur EngineType IMOTier ModelYearFrom ModelYearTo PM10 PM2.5 DPM NOx SOx CO HC CO2 N2O CH4
Main HFO 2.7 SSD Tier0 0 1999 1.50 1.20 1.50 18.1 10.5 1.4 0.6 620 0.031 0.012
Main HFO 2.7 MSD Tier0 0 1999 1.50 1.20 1.50 14.0 11.5 1.1 0.5 683 0.031 0.010
Main HFO 2.7 SSD Tier1 2000 2010 1.50 1.20 1.50 17.0 10.5 1.4 0.6 620 0.031 0.012
Main HFO 2.7 MSD Tier1 2000 2010 1.50 1.20 1.50 13.0 11.5 1.1 0.5 683 0.031 0.010
Main HFO 2.7 SSD Tier2 2011 2015 1.50 1.20 1.50 15.3 10.5 1.4 0.6 620 0.031 0.012
Main HFO 2.7 MSD Tier2 2011 2015 1.50 1.20 1.50 11.2 11.5 1.1 0.5 683 0.031 0.010
Main HFO 2.7 GasTurbine na 0 2020 0.05 0.04 0.00 6.1 16.5 0.2 0.1 970 0.080 0.002
Main HFO 2.7 Steamship na 0 2020 0.80 0.64 0.00 2.1 16.5 0.2 0.1 970 0.080 0.002
Main MDO 0.5 SSD Tier0 0 1999 0.38 0.35 0.38 17.0 1.9 1.4 0.6 589 0.029 0.012
Main MDO 0.5 MSD Tier0 0 1999 0.38 0.35 0.38 13.2 2.1 1.1 0.5 649 0.029 0.010
Main MDO 0.5 SSD Tier1 2000 2010 0.38 0.35 0.38 16.0 1.9 1.4 0.6 589 0.029 0.012
Main MDO 0.5 MSD Tier1 2000 2010 0.38 0.35 0.38 12.2 2.1 1.1 0.5 649 0.029 0.010
Main MDO 0.5 SSD Tier2 2011 2015 0.38 0.35 0.38 14.4 1.9 1.4 0.6 589 0.029 0.012
Main MDO 0.5 MSD Tier2 2011 2015 0.38 0.35 0.38 10.5 2.1 1.1 0.5 649 0.029 0.010
Main MDO 0.5 GasTurbine na 0 2020 0.01 0.01 0.00 5.7 3.1 0.2 0.1 922 0.075 0.002
Main MDO 0.5 Steamship na 0 2020 0.20 0.18 0.00 2.0 3.1 0.2 0.1 922 0.075 0.002
Aux HFO 2.7 MSD Tier0 0 1999 1.50 1.20 1.50 14.7 12.3 1.1 0.4 683 0.031 0.008
Aux HFO 2.7 MSD Tier1 2000 2010 1.50 1.20 1.50 13.0 12.3 1.1 0.4 683 0.031 0.008
Aux HFO 2.7 MSD Tier2 2011 2015 1.50 1.20 1.50 11.2 12.3 1.1 0.4 683 0.031 0.008
Aux MDO 0.5 MSD Tier0 0 1999 0.38 0.35 0.38 13.8 2.3 1.1 0.4 649 0.029 0.008
Aux MDO 0.5 MSD Tier1 2000 2010 0.38 0.35 0.38 12.2 2.3 1.1 0.4 649 0.029 0.008
Aux MDO 0.5 MSD Tier2 2011 2015 0.38 0.35 0.38 10.5 2.3 1.1 0.4 649 0.029 0.008
Boiler HFO 2.7 Steamship na 0 2020 0.8 0.64 0 2.1 16.5 0.2 0.1 970 0.080 0.002
Boiler MDO 0.5 Steamship na 0 2020 0.2 0.18 0 2.0 3.1 0.2 0.1 922 0.075 0.002

