Fuel Sulfur PM NOx SOx CO HC CO2 N2O CH4
HFO 1.00 0.73 1.00 0.370 1.00 1.00 1.00 1.00 1.00
MDO/MGO 0.90 0.34 0.94 0.333 1.00 1.00 0.95 0.94 1.00
MDO/MGO 0.82 0.32 0.94 0.304 1.00 1.00 0.95 0.94 1.00
MDO/MGO 0.75 0.31 0.94 0.278 1.00 1.00 0.95 0.94 1.00
MDO/MGO 0.67 0.29 0.94 0.248 1.00 1.00 0.95 0.94 1.00
MDO/MGO 0.63 0.28 0.94 0.233 1.00 1.00 0.95 0.94 1.00
MDO/MGO 0.60 0.27 0.94 0.222 1.00 1.00 0.95 0.94 1.00
MDO/MGO 0.58 0.27 0.94 0.215 1.00 1.00 0.95 0.94 1.00
MDO/MGO 0.54 0.26 0.94 0.200 1.00 1.00 0.95 0.94 1.00
MDO/MGO 0.53 0.26 0.94 0.196 1.00 1.00 0.95 0.94 1.00
MDO/MGO 0.51 0.25 0.94 0.189 1.00 1.00 0.95 0.94 1.00
MDO/MGO 0.50 0.25 0.94 0.185 1.00 1.00 0.95 0.94 1.00
MDO/MGO 0.46 0.24 0.94 0.170 1.00 1.00 0.95 0.94 1.00
MDO/MGO 0.45 0.24 0.94 0.167 1.00 1.00 0.95 0.94 1.00
MDO/MGO 0.43 0.24 0.94 0.159 1.00 1.00 0.95 0.94 1.00
MDO/MGO 0.42 0.23 0.94 0.156 1.00 1.00 0.95 0.94 1.00
MDO/MGO 0.41 0.23 0.94 0.152 1.00 1.00 0.95 0.94 1.00
MDO/MGO 0.40 0.23 0.94 0.148 1.00 1.00 0.95 0.94 1.00
MDO/MGO 0.38 0.23 0.94 0.141 1.00 1.00 0.95 0.94 1.00
MDO/MGO 0.36 0.22 0.94 0.133 1.00 1.00 0.95 0.94 1.00
MDO/MGO 0.35 0.22 0.94 0.130 1.00 1.00 0.95 0.94 1.00
MDO/MGO 0.34 0.22 0.94 0.126 1.00 1.00 0.95 0.94 1.00
MDO/MGO 0.30 0.21 0.94 0.111 1.00 1.00 0.95 0.94 1.00
MDO/MGO 0.27 0.20 0.94 0.100 1.00 1.00 0.95 0.94 1.00
MDO/MGO 0.26 0.20 0.94 0.096 1.00 1.00 0.95 0.94 1.00
MDO/MGO 0.25 0.20 0.94 0.093 1.00 1.00 0.95 0.94 1.00
MDO/MGO 0.23 0.20 0.94 0.085 1.00 1.00 0.95 0.94 1.00
MDO/MGO 0.21 0.19 0.94 0.078 1.00 1.00 0.95 0.94 1.00
MDO/MGO 0.20 0.19 0.94 0.074 1.00 1.00 0.95 0.94 1.00
MDO/MGO 0.19 0.19 0.94 0.070 1.00 1.00 0.95 0.94 1.00
MDO/MGO 0.17 0.18 0.94 0.063 1.00 1.00 0.95 0.94 1.00
MDO/MGO 0.16 0.18 0.94 0.059 1.00 1.00 0.95 0.94 1.00
MDO/MGO 0.15 0.18 0.94 0.056 1.00 1.00 0.95 0.94 1.00
MDO/MGO 0.14 0.18 0.94 0.052 1.00 1.00 0.95 0.94 1.00
MDO/MGO 0.13 0.18 0.94 0.048 1.00 1.00 0.95 0.94 1.00
MDO/MGO 0.12 0.17 0.94 0.044 1.00 1.00 0.95 0.94 1.00
MDO/MGO 0.11 0.17 0.94 0.041 1.00 1.00 0.95 0.94 1.00
MDO/MGO 0.10 0.17 0.94 0.037 1.00 1.00 0.95 0.94 1.00
MDO/MGO 0.09 0.17 0.94 0.033 1.00 1.00 0.95 0.94 1.00
MDO/MGO 0.08 0.17 0.94 0.030 1.00 1.00 0.95 0.94 1.00
MDO/MGO 0.07 0.16 0.94 0.026 1.00 1.00 0.95 0.94 1.00
MDO/MGO 0.06 0.16 0.94 0.022 1.00 1.00 0.95 0.94 1.00
MDO/MGO 0.05 0.16 0.94 0.019 1.00 1.00 0.95 0.94 1.00
MDO/MGO 0.04 0.16 0.94 0.015 1.00 1.00 0.95 0.94 1.00
MDO/MGO 0.03 0.16 0.94 0.011 1.00 1.00 0.95 0.94 1.00
MDO/MGO 0.02 0.15 0.94 0.007 1.00 1.00 0.95 0.94 1.00
MDO/MGO 0.01 0.15 0.94 0.004 1.00 1.00 0.95 0.94 1.00
