Load,PM2.5,PM10,DPM,NOx,SOx,CO,HC,CO2,N2O,CH4
2,7.29,7.29,7.29,4.63,1,9.7,21.18,1,4.63,21.18
3,4.33,4.33,4.33,2.92,1,6.49,11.68,1,2.92,11.68
4,3.09,3.09,3.09,2.21,1,4.86,7.71,1,2.21,7.71
5,2.44,2.44,2.44,1.83,1,3.9,5.61,1,1.83,5.61
6,2.04,2.04,2.04,1.6,1,3.26,4.35,1,1.6,4.35
7,1.79,1.79,1.79,1.45,1,2.8,3.52,1,1.45,3.52
8,1.61,1.61,1.61,1.35,1,2.45,2.95,1,1.35,2.95
9,1.48,1.48,1.48,1.27,1,2.18,2.52,1,1.27,2.52
10,1.38,1.38,1.38,1.22,1,1.97,2.18,1,1.22,2.18
11,1.3,1.3,1.3,1.17,1,1.79,1.96,1,1.17,1.96
12,1.24,1.24,1.24,1.14,1,1.64,1.76,1,1.14,1.76
13,1.19,1.19,1.19,1.11,1,1.52,1.6,1,1.11,1.6
14,1.15,1.15,1.15,1.08,1,1.41,1.47,1,1.08,1.47
15,1.11,1.11,1.11,1.06,1,1.32,1.36,1,1.06,1.36
16,1.08,1.08,1.08,1.05,1,1.24,1.26,1,1.05,1.26
17,1.06,1.06,1.06,1.03,1,1.17,1.18,1,1.03,1.18
18,1.04,1.04,1.04,1.02,1,1.11,1.11,1,1.02,1.11
19,1.02,1.02,1.02,1.01,1,1.05,1.05,1,1.01,1.05
20,1,1,1,1,1,1,1,1,1,1
