Type,Name,Size,Unit,Dwt,GT,Flag,Built,Month,Builder,OwnerGroup
Container,Engedi,956 ,TEU,18828 ,13996 ,Panama,1978 ,,Narasaki S.B.,Capital Gate Holding
Container,Eagle Pride,956 ,TEU,18821 ,13996 ,Panama,1978 ,,Narasaki S.B.,EP Carriers Ltd
Container,Harvest,884 ,TEU,17870 ,13335 ,Cambodia,1986 ,,Neptun Rostock,World Merge Shpg
Container,Xin Jin Cheng 2,800 ,TEU,17107 ,11708 ,Peoples' Republic of China,2013 ,6 ,Winde,Quanzhou Jincheng
Container,Dole Honduras,910 ,TEU,16337 ,16657 ,Bahamas,1991 ,10 ,Fincantieri Ancona,Dole Fresh Fruit Int
Container,Maenam 1,908 ,TEU,15640 ,11810 ,Panama,1997 ,6 ,Iwagi Zosen,Shoei Kaiun
Container,CTP Golden,972 ,TEU,15640 ,11810 ,Indonesia,1997 ,7 ,Iwagi Zosen,PT Pelayaran Caraka
Container,IAL 001,908 ,TEU,15628 ,11810 ,Hong Kong,1996 ,9 ,Iwagi Zosen,Wan Hai Lines
Container,CTP Eagle,818 ,TEU,15428 ,11788 ,Indonesia,1994 ,12 ,Iwagi Zosen,PT Pelayaran Caraka
Container,Yossa Bhum,818 ,TEU,15414 ,11788 ,Singapore,1994 ,3 ,Iwagi Zosen,Regional Cont. Lines
Container,Verizon,758 ,TEU,15407 ,11788 ,Indonesia,1995 ,6 ,Iwagi Zosen,Salam Pacific
Container,West Scent,954 ,TEU,15326 ,11875 ,Panama,1995 ,12 ,Iwagi Zosen,FTN Shipping
Container,Argentino II,932 ,TEU,14967 ,12563 ,Argentina,2002 ,8 ,Hakata Zosen,Naviera Del Sud SA
Container,OEL Bengal,860 ,TEU,14910 ,10676 ,Singapore,1985 ,11 ,Shin Yamamoto,Transworld Group
Container,Blue Ocean,816 ,TEU,14900 ,9949 ,Hong Kong,1989 ,7 ,Shin Kurushima,SIPG
Container,Hon Chun,634 ,TEU,14504 ,9965 ,Hong Kong,1989 ,1 ,Naikai Innoshima,Wan Hai Lines
Container,Venus C,816 ,TEU,14400 ,9949 ,Liberia,1989 ,6 ,Shin Kurushima,Shanghai Newseas
Container,Shin Chun,730 ,TEU,14263 ,9954 ,Hong Kong,1987 ,3 ,Naikai Innoshima,Wan Hai Lines
Container,Dongtai Fortune,966 ,TEU,14180 ,10524 ,Hong Kong,1985 ,12 ,Werft Nobiskrug,Xixakou Co
Container,BFP Galaxy,977 ,TEU,14035 ,10457 ,Malta,1997 ,9 ,Astillero Barreras,Pacific & Atlantic
Container,BFP Melody,977 ,TEU,14035 ,10457 ,Malta,1998 ,3 ,Astillero Barreras,Pacific & Atlantic
Container,Captain Tsarev,827 ,TEU,14033 ,9948 ,Panama,1982 ,,Orenstein & Koppel,Chester Shipping
Container,National Glory,570 ,TEU,13864 ,11576 ,United States,1988 ,8 ,Stocznia Gdynia,Nat Shpng America
Container,Anina,868 ,TEU,13720 ,11662 ,United Kingdom,2006 ,6 ,J. J. Sietas,Peter Dohle Schiff.
Container,Elan,868 ,TEU,13682 ,11662 ,Netherlands,2005 ,5 ,J. J. Sietas,JR Shipping B.V.
Container,Kiribati Chief,876 ,TEU,13668 ,10357 ,Hong Kong,1990 ,3 ,Miho Zosensho,John Swire & Sons
Container,Containerships VII,966 ,TEU,13650 ,9953 ,Finland,2002 ,10 ,J. J. Sietas,Containerships Ltd
Container,Papuan Chief,981 ,TEU,13557 ,10350 ,Hong Kong,1991 ,2 ,Miho Zosensho,John Swire & Sons
Container,Renate P,950 ,TEU,13455 ,9962 ,Madeira,1997 ,2 ,J. J. Sietas,Stefan Patjens
Container,Island Chief,981 ,TEU,13387 ,10352 ,Hong Kong,1990 ,10 ,Miho Zosensho,John Swire & Sons
Container,Kokopo Chief,981 ,TEU,13387 ,10352 ,Hong Kong,1991 ,5 ,Miho Zosensho,John Swire & Sons
Container,Melanesian Chief,981 ,TEU,13387 ,10352 ,Hong Kong,1990 ,6 ,Miho Zosensho,John Swire & Sons
Container,Barbara P,942 ,TEU,13273 ,9962 ,Portugal,1997 ,3 ,J. J. Sietas,Stefan Patjens
Container,Kota Rancak,938 ,TEU,13260 ,9678 ,Singapore,2005 ,10 ,Shin Kochi Jyuko,Pacific Intl Lines
Container,Meratus Spirit 1,712 ,TEU,13226 ,9974 ,Indonesia,1989 ,2 ,Shanghai Shipyard,Pelayaran Meratus
Container,Kota Rajin,887 ,TEU,13212 ,9678 ,Singapore,2005 ,7 ,Shin Kochi Jyuko,Pacific Intl Lines
Container,Marina Star 3,846 ,TEU,13193 ,9907 ,Indonesia,1983 ,4 ,Shanghai Shipyard,Pelayaran Meratus
Container,Tanto Star,846 ,TEU,13193 ,9907 ,Indonesia,1982 ,12 ,Shanghai Shipyard,Tanto Intim Line
Container,Danum 160,908 ,TEU,13177 ,9689 ,Malaysia,2008 ,3 ,Linhai Hangchang,Shin Yang Shipping
Container,Containerships VIII,850 ,TEU,13174 ,9902 ,Germany,2006 ,1 ,J. J. Sietas,Hans Peter Wegener
Container,Xin Yong Chang 9,778 ,TEU,13136 ,9138 ,Peoples' Republic of China,2014 ,4 ,Yanhai Shipyard,Shishi Yongyi Shpg
Container,Marina Star 2,846 ,TEU,13126 ,9923 ,Indonesia,1983 ,6 ,Shanghai Shipyard,Pelayaran Meratus
Container,Marina Star 1,846 ,TEU,13089 ,9923 ,Indonesia,1983 ,2 ,Shanghai Shipyard,Pelayaran Meratus
Container,Southern Moana,777 ,TEU,13064 ,9442 ,Singapore,1998 ,2 ,Kanasashi K.K.,Pacific Intl Lines
Container,Leonie P,969 ,TEU,13059 ,9962 ,Antigua & Barbuda,1997 ,9 ,J. J. Sietas,Stefan Patjens
Container,Southern Trader,777 ,TEU,13058 ,9422 ,Singapore,1998 ,4 ,Kanasashi K.K.,Pacific Intl Lines
Container,Capitaine Wallis,777 ,TEU,13055 ,9422 ,Singapore,1998 ,3 ,Kanasashi K.K.,Pacific Intl Lines
Container,Intra Bhum,958 ,TEU,13021 ,9757 ,Thailand,2013 ,5 ,Dae Sun S.B.,Regional Cont. Lines
Container,Siri Bhum,958 ,TEU,13017 ,9757 ,Thailand,2013 ,2 ,Dae Sun S.B.,Regional Cont. Lines
Container,Southern Lily,938 ,TEU,13017 ,9725 ,Singapore,2006 ,1 ,Shin Kochi Jyuko,Pacific Intl Lines
Container,Star Carrier,962 ,TEU,13007 ,9522 ,South Korea,2005 ,3 ,Dae Sun S.B.,Nam Sung Shpg. Co.
Container,Star Mariner,962 ,TEU,13007 ,9522 ,South Korea,2005 ,5 ,Dae Sun S.B.,Nam Sung Shpg. Co.
Container,Sky Pride,950 ,TEU,13006 ,9520 ,South Korea,2005 ,9 ,Dae Sun S.B.,KMTC
Container,Wan Li,724 ,TEU,13003 ,9683 ,Peoples' Republic of China,1984 ,12 ,Dalian Shipyard,Dalian Port
Container,Kota Rakyat,851 ,TEU,13001 ,9725 ,Singapore,2006 ,6 ,Shin Kochi Jyuko,Pacific Intl Lines
Container,Forum Pacific,907 ,TEU,12985 ,9725 ,Singapore,2008 ,1 ,Shin Kochi Jyuko,Pacific Intl Lines
Container,Capitaine Cook,907 ,TEU,12985 ,9725 ,Singapore,2008 ,3 ,Shin Kochi Jyuko,Pacific Intl Lines
Container,Kota Restu,907 ,TEU,12985 ,9725 ,Singapore,2009 ,12 ,Shin Kochi Jyuko,Pacific Intl Lines
Container,Meratus Batam,942 ,TEU,12950 ,9991 ,Indonesia,1996 ,12 ,J. J. Sietas,Pelayaran Meratus
Container,Purki,923 ,TEU,12854 ,10396 ,Malta,1992 ,5 ,Meeres-Technik,Akar Deniz Tasimac.
Container,MSC Esha,923 ,TEU,12854 ,10396 ,Panama,1993 ,4 ,Meeres-Technik,MSC
Container,Dongjin Venus,953 ,TEU,12844 ,9520 ,South Korea,2011 ,9 ,Dae Sun S.B.,Dong Jin Shipping
Container,Star Express,953 ,TEU,12839 ,9520 ,Marshall Islands,2010 ,10 ,Dae Sun S.B.,Nam Sung Shpg. Co.
Container,Star Pioneer,953 ,TEU,12839 ,9520 ,Marshall Islands,2010 ,8 ,Dae Sun S.B.,Nam Sung Shpg. Co.
Container,Star Clipper,953 ,TEU,12839 ,9520 ,South Korea,2010 ,3 ,Dae Sun S.B.,Nam Sung Shpg. Co.
Container,Star Skipper,953 ,TEU,12839 ,9520 ,South Korea,2010 ,6 ,Dae Sun S.B.,Nam Sung Shpg. Co.
Container,Vania,700 ,TEU,12839 ,8570 ,Mongolia,1992 ,4 ,Shin Kurushima,Trans Victoria
Container,Doowoo Family,700 ,TEU,12827 ,8628 ,South Korea,1992 ,7 ,Shin Kurushima,Doowoo Shipping
Container,Capitaine Tasman,777 ,TEU,12814 ,9442 ,Singapore,1998 ,1 ,Kanasashi K.K.,Pacific Intl Lines
Container,SITC Kwangyang,953 ,TEU,12782 ,9520 ,Hong Kong,2012 ,1 ,Dae Sun S.B.,SITC
Container,Armada Permata,714 ,TEU,12723 ,9048 ,Indonesia,1994 ,8 ,Iwagi Zosen,Salam Pacific
Container,Alessia,856 ,TEU,12710 ,9764 ,Malta,1984 ,12 ,J. J. Sietas,Transyug Shipping
Container,SITC Tokyo,850 ,TEU,12694 ,9413 ,Panama,2002 ,8 ,Kyokuyo Shipyard,SITC
Container,Haian Park,787 ,TEU,12649 ,8500 ,Vietnam,2000 ,1 ,Kyokuyo Shipyard,Hai An Transport
Container,SITC Manila,787 ,TEU,12649 ,8500 ,Hong Kong,2000 ,3 ,Kyokuyo Shipyard,SITC
Container,SITC Kobe,831 ,TEU,12645 ,9571 ,Panama,2004 ,3 ,Kyokuyo Shipyard,SITC
Container,SITC Ningbo,831 ,TEU,12645 ,9571 ,Hong Kong,2004 ,5 ,Kyokuyo Shipyard,SITC
Container,SITC Yokohama,831 ,TEU,12645 ,9571 ,Panama,2004 ,7 ,Kyokuyo Shipyard,SITC
Container,Pictor J,925 ,TEU,12640 ,10695 ,Cyprus,2009 ,1 ,Naval Gijon,Jungerhans & Co
Container,Winland Dalian,868 ,TEU,12630 ,8944 ,Hong Kong,1996 ,7 ,Selah Shipyard,Winland Group
Container,Ajyal 1,860 ,TEU,12630 ,8944 ,Panama,1997 ,4 ,Selah Shipyard,Ajyal Company
Container,Taipan,925 ,TEU,12612 ,10694 ,Cyprus,2007 ,3 ,Naval Gijon,Pacific & Atlantic
Container,SITC Hong Kong,831 ,TEU,12601 ,9500 ,Panama,2007 ,4 ,Kyokuyo Shipyard,SITC
Container,SITC Xiamen,831 ,TEU,12601 ,9500 ,Panama,2007 ,7 ,Kyokuyo Shipyard,SITC
Container,SITC Nagoya,831 ,TEU,12601 ,9500 ,Panama,2006 ,6 ,Kyokuyo Shipyard,SITC
Container,SITC Tianjin,907 ,TEU,12601 ,9500 ,Panama,2006 ,9 ,Kyokuyo Shipyard,SITC
Container,CSCL Osaka,908 ,TEU,12562 ,9858 ,Hong Kong,2008 ,7 ,Nanjing Wujiazui,Tiger Group
Container,CSCL Nagoya,908 ,TEU,12562 ,9858 ,Hong Kong,2008 ,10 ,Nanjing Wujiazui,Tiger Group
Container,CSCL Yokohama,908 ,TEU,12550 ,9858 ,Hong Kong,2009 ,4 ,Nanjing Wujiazui,Tiger Group
Container,CSCL Tokyo,908 ,TEU,12550 ,9858 ,Hong Kong,2008 ,2 ,Nanjing Wujiazui,Tiger Group
Container,Triumph,907 ,TEU,12550 ,9550 ,Bahamas,2007 ,9 ,Kyokuyo Shipyard,Kotoku Kaiun
Container,Sinotrans Beijing,907 ,TEU,12550 ,9550 ,Hong Kong,2008 ,2 ,Kyokuyo Shipyard,Sinotrans & CSC
Container,Sinotrans Shenzhen,907 ,TEU,12550 ,9550 ,Hong Kong,2008 ,3 ,Kyokuyo Shipyard,Sinotrans & CSC
Container,Trinity,907 ,TEU,12550 ,9550 ,Bahamas,2007 ,4 ,Kyokuyo Shipyard,Kotoku Kaiun
Container,Sinotrans Ningbo,907 ,TEU,12550 ,9550 ,Hong Kong,2008 ,5 ,Kyokuyo Shipyard,Sinotrans & CSC
