Type,Name,Size,Unit,Dwt,GT,Flag,Built,Month,Builder,OwnerGroup
Container,Horizon Spirit,2172 ,TEU,46154 ,34077 ,United States,1980 ,7 ,Avondale SY,The Pasha Group
Container,Horizon Reliance,2653 ,TEU,45805 ,34077 ,United States,1980 ,12 ,Avondale SY,The Pasha Group
Container,Tian Sheng,2680 ,TEU,45696 ,34231 ,Peoples' Republic of China,1992 ,7 ,Bremer Vulkan,HNA Group
Container,MSC Tasmania,2680 ,TEU,45696 ,34231 ,Panama,1993 ,8 ,Howaldtswerke Werft,MSC
Container,Xin Hu Zhou,2680 ,TEU,45696 ,34231 ,Peoples' Republic of China,1992 ,8 ,Thyssen Nordsee,China Shipping Group
Container,MSC America,2680 ,TEU,45696 ,34231 ,Panama,1993 ,1 ,Thyssen Nordsee,MSC
Container,MSC Eloise,2440 ,TEU,44541 ,37902 ,Panama,1991 ,7 ,I.H.I.,MSC
Container,Xin Bei Hai,2797 ,TEU,44014 ,36584 ,Peoples' Republic of China,1990 ,,Daewoo (DSME),China Shipping Group
Container,Ren Jian Yi,2986 ,TEU,44006 ,36627 ,Peoples' Republic of China,1991 ,5 ,Daewoo (DSME),Quanzhou Ansheng
Container,Tian Xin,2954 ,TEU,43714 ,37235 ,Peoples' Republic of China,1990 ,,Samsung S.B (Busan),HNA Group
Container,MSC Alice,2668 ,TEU,43170 ,35598 ,Panama,1988 ,11 ,Daewoo (DSME),MSC
Container,MSC Levina,2900 ,TEU,43140 ,36420 ,Panama,1989 ,4 ,Samsung S.B (Busan),MSC
Container,MSC Didem,2668 ,TEU,43108 ,35598 ,Panama,1987 ,5 ,Daewoo (DSME),MSC
Container,Athena,2762 ,TEU,43093 ,34610 ,Panama,2003 ,1 ,Koyo Dock K.K.,Technomar Shipping
Container,Leo Osaka,2762 ,TEU,43093 ,34610 ,Panama,2003 ,3 ,Koyo Dock K.K.,Tokei Kaiun Co.
Container,Sydney,2762 ,TEU,43093 ,34610 ,Singapore,2003 ,4 ,Koyo Dock K.K.,Mitsui & Co
Container,Taroko,2762 ,TEU,43093 ,34610 ,Liberia,2003 ,5 ,Koyo Dock K.K.,SeaChange
Container,MSC Sabrina,2668 ,TEU,43078 ,35598 ,Panama,1989 ,2 ,Daewoo (DSME),MSC
Container,MSC Maria Laura,2591 ,TEU,42513 ,36389 ,Panama,1988 ,8 ,Samsung S.B (Busan),MSC
Container,MSC Lara,2480 ,TEU,41830 ,28892 ,Panama,1994 ,4 ,Flensburger SB,MSC
Container,MSC Jasmine,2073 ,TEU,41828 ,31430 ,Panama,1988 ,4 ,Ch. Nord et Med,MSC
Container,MSC Denisse,2073 ,TEU,41771 ,31430 ,Panama,1988 ,1 ,Ch. de l'Atlantique,MSC
Container,MSC Eleonora,2480 ,TEU,41667 ,28892 ,Panama,1994 ,10 ,Flensburger SB,MSC
