Type,Name,Size,Unit,Dwt,GT,Flag,Built,Month,Builder,OwnerGroup
Container,CMA CGM Congo,9200 ,TEU,140647 ,102931 ,Singapore,2015 ,8 ,STX SB (Jinhae),Rickmers Group
Container,CMA CGM Thalassa,10960 ,TEU,131938 ,128600 ,Cyprus,2008 ,12 ,Daewoo (DSME),Global Ship Lease
Container,CMA CGM Hydra,10960 ,TEU,131831 ,128600 ,United Kingdom,2009 ,4 ,Daewoo (DSME),Conti Reederei
Container,CMA CGM Vela,10960 ,TEU,131831 ,128600 ,Germany,2008 ,10 ,Daewoo (DSME),Conti Reederei
Container,CMA CGM Musca,10960 ,TEU,131830 ,128600 ,United Kingdom,2009 ,6 ,Daewoo (DSME),Conti Reederei
Container,MSC Ivana,11660 ,TEU,131489 ,131771 ,Panama,2008 ,12 ,Hyundai HI,MSC
Container,MSC Luciana,11660 ,TEU,131463 ,131771 ,Panama,2009 ,2 ,Hyundai HI,MSC
Container,APL Southampton,10700 ,TEU,131358 ,128929 ,Singapore,2012 ,4 ,Daewoo (DSME),Neptune Orient Lines
Container,APL Salalah,10700 ,TEU,131358 ,128929 ,Singapore,2012 ,6 ,Daewoo (DSME),Neptune Orient Lines
Container,APL Yangshan,10700 ,TEU,131358 ,128929 ,Singapore,2012 ,9 ,Daewoo (DSME),Neptune Orient Lines
Container,APL Barcelona,10700 ,TEU,131358 ,128929 ,Singapore,2012 ,10 ,Daewoo (DSME),Neptune Orient Lines
Container,MSC Francesca,11660 ,TEU,131356 ,131771 ,Panama,2009 ,1 ,Hyundai Samho HI,MSC
Container,MSC Sola,11660 ,TEU,131346 ,131771 ,Panama,2008 ,11 ,Hyundai Samho HI,MSC
Container,APL Paris,10700 ,TEU,128760 ,128929 ,Singapore,2012 ,11 ,Daewoo (DSME),Neptune Orient Lines
Container,APL Dublin,10700 ,TEU,128760 ,128929 ,Singapore,2012 ,12 ,Daewoo (DSME),Neptune Orient Lines
Container,CMA CGM Centaurus,11388 ,TEU,128550 ,131332 ,United Kingdom,2011 ,4 ,Hyundai HI,CMA-CGM
Container,CMA CGM Columba,11388 ,TEU,128550 ,131332 ,United Kingdom,2010 ,7 ,Hyundai HI,CMA-CGM
Container,CMA CGM Gemini,11388 ,TEU,128550 ,131332 ,United Kingdom,2011 ,5 ,Hyundai HI,CMA-CGM
Container,CMA CGM Lyra,11388 ,TEU,128550 ,131332 ,United Kingdom,2011 ,5 ,Hyundai HI,CMA-CGM
Container,CMA CGM Libra,11388 ,TEU,128550 ,131332 ,Malta,2010 ,7 ,Hyundai HI,CMA-CGM
Container,CMA CGM Leo,11388 ,TEU,128550 ,131332 ,Malta,2010 ,7 ,Hyundai HI,CMA-CGM
Container,CMA CGM Pegasus,11388 ,TEU,128550 ,131332 ,Malta,2010 ,7 ,Hyundai HI,CMA-CGM
Container,CMA CGM Titan,11388 ,TEU,128550 ,131332 ,Malta,2011 ,4 ,Hyundai HI,CMA-CGM
Container,CMA CGM Andromeda,11388 ,TEU,128550 ,131332 ,United Kingdom,2009 ,3 ,Hyundai HI,CMA-CGM
Container,CMA CGM Aquila,11388 ,TEU,128550 ,131332 ,United Kingdom,2009 ,6 ,Hyundai HI,CMA-CGM
Container,CMA CGM Callisto,11388 ,TEU,128550 ,131332 ,United Kingdom,2010 ,7 ,Hyundai HI,CMA-CGM
Container,CMA CGM Cassiopeia,11388 ,TEU,128550 ,131332 ,United Kingdom,2011 ,4 ,Hyundai HI,CMA-CGM
Container,Cap San Nicolas,9669 ,TEU,124479 ,118938 ,Luxembourg,2013 ,5 ,Hyundai HI,Hamburg-Sud
Container,Cap San Marco,9669 ,TEU,124479 ,118938 ,Luxembourg,2013 ,7 ,Hyundai HI,Hamburg-Sud
Container,Cap San Lorenzo,9669 ,TEU,124479 ,118938 ,Luxembourg,2013 ,7 ,Hyundai HI,Hamburg-Sud
Container,Cap San Augustin,9669 ,TEU,124479 ,118938 ,Germany,2013 ,9 ,Hyundai HI,Hamburg-Sud
Container,Cap San Artemissio,9669 ,TEU,124479 ,118938 ,Singapore,2014 ,4 ,Hyundai HI,N.S. Lemos
Container,Cap San Maleas,9669 ,TEU,124479 ,118938 ,Singapore,2014 ,5 ,Hyundai HI,N.S. Lemos
Container,Cap San Sounio,9669 ,TEU,124479 ,118938 ,Singapore,2014 ,6 ,Hyundai HI,N.S. Lemos
Container,Cap San Raphael,9669 ,TEU,124461 ,118938 ,Liberia,2014 ,1 ,Hyundai HI,Hamburg-Sud
Container,Cap San Tainaro,9669 ,TEU,124426 ,118938 ,Singapore,2014 ,7 ,Hyundai HI,N.S. Lemos
Container,Cap San Antonio,9669 ,TEU,124424 ,118938 ,Liberia,2014 ,1 ,Hyundai HI,Hamburg-Sud
Container,APL Gwangyang,10106 ,TEU,123159 ,113735 ,Singapore,2011 ,12 ,Hyundai HI,Neptune Orient Lines
Container,APL Le Havre,10106 ,TEU,123137 ,113735 ,Singapore,2012 ,4 ,Hyundai HI,Neptune Orient Lines
Container,APL Qingdao,10100 ,TEU,123137 ,113735 ,Singapore,2012 ,5 ,Hyundai HI,Neptune Orient Lines
Container,Cap San Juan,10500 ,TEU,123101 ,118615 ,Liberia,2015 ,6 ,Daewoo (DSME),Hamburg-Sud
Container,APL Chongqing,10106 ,TEU,122200 ,113735 ,Singapore,2011 ,12 ,Hyundai HI,Neptune Orient Lines
Container,CSCL Spring,10000 ,TEU,121849 ,116603 ,Hong Kong,2014 ,1 ,Dalian Shipbuilding,China Shipping Group
Container,CSCL Summer,10000 ,TEU,121849 ,116603 ,Hong Kong,2014 ,3 ,Dalian Shipbuilding,China Shipping Group
Container,CSCL Winter,10000 ,TEU,121839 ,116603 ,Hong Kong,2014 ,4 ,Dalian Shipbuilding,China Shipping Group
Container,CSCL Bohai Sea,10000 ,TEU,121824 ,116603 ,Hong Kong,2014 ,6 ,Dalian Shipbuilding,China Shipping Group
Container,CSCL Autumn,10000 ,TEU,121270 ,116568 ,Hong Kong,2014 ,5 ,Hudong Zhonghua,China Shipping Group
Container,CSCL Yellow Sea,10000 ,TEU,121194 ,116568 ,Hong Kong,2014 ,6 ,Hudong Zhonghua,China Shipping Group
Container,CSCL East China Sea,10000 ,TEU,121186 ,116568 ,Hong Kong,2014 ,9 ,Hudong Zhonghua,China Shipping Group
Container,CSCL South China Sea,10000 ,TEU,121186 ,116568 ,Hong Kong,2014 ,11 ,Hudong Zhonghua,China Shipping Group
Container,CMA CGM Orfeo,9661 ,TEU,120897 ,111246 ,Malta,2008 ,7 ,Hyundai HI,Reederei C-P Offen
Container,CMA CGM Pelleas,9661 ,TEU,120897 ,111246 ,Malta,2008 ,8 ,Hyundai HI,Reederei C-P Offen
Container,CMA CGM Butterfly,9661 ,TEU,120897 ,111246 ,Liberia,2008 ,11 ,Hyundai HI,Reederei C-P Offen
Container,CMA CGM Ivanhoe,9661 ,TEU,120897 ,111246 ,Liberia,2008 ,12 ,Hyundai HI,Reederei C-P Offen
Container,MOL Beacon,10000 ,TEU,119324 ,113042 ,Hong Kong,2015 ,3 ,Yangzi Xinfu S.B.,Seaspan Corporation
Container,MOL Bellwether,10000 ,TEU,119241 ,113042 ,Hong Kong,2015 ,7 ,Yangzi Xinfu S.B.,Seaspan Corporation
Container,MOL Belief,10000 ,TEU,119137 ,113042 ,Hong Kong,2015 ,6 ,Yangzi Xinfu S.B.,Seaspan Corporation
Container,MOL Beauty,10000 ,TEU,119106 ,113042 ,Hong Kong,2015 ,4 ,Yangzi Xinfu S.B.,Seaspan Corporation
Container,Hanjin United Kingdom,9954 ,TEU,118888 ,113412 ,Panama,2011 ,5 ,Samsung HI,Hanjin Group
Container,Hanjin Netherlands,9954 ,TEU,118712 ,113515 ,Panama,2011 ,4 ,Samsung HI,Hanjin Group
Container,Hanjin Korea,9954 ,TEU,118712 ,113515 ,Panama,2010 ,6 ,Samsung HI,Hanjin Group
Container,Hanjin China,9954 ,TEU,118712 ,113515 ,Panama,2011 ,4 ,Samsung HI,Hanjin Group
Container,Hanjin Spain,9954 ,TEU,118712 ,113515 ,Panama,2011 ,5 ,Samsung HI,Hanjin Group
Container,Hanjin Bosal,10000 ,TEU,117500 ,113042 ,Hong Kong,2015 ,3 ,Jiangsu New YZJ,Seaspan Corporation
Container,Maersk Saltoro,9962 ,TEU,117176 ,94730 ,Marshall Islands,2015 ,7 ,Hyundai HI,Oceanbulk Containers
Container,MSC Maxine,9400 ,TEU,117000 ,94469 ,Panama,2015 ,6 ,Hudong Zhonghua,BoCom Leasing
Container,Zim Rotterdam,10062 ,TEU,116499 ,114044 ,Liberia,2010 ,3 ,Hyundai Samho HI,Zim Integrated Shpg.
Container,Tianjin,10062 ,TEU,116440 ,114044 ,Liberia,2010 ,7 ,Hyundai Samho HI,Zim Integrated Shpg.
Container,Zim Djibouti,10062 ,TEU,116440 ,114044 ,Liberia,2009 ,7 ,Hyundai Samho HI,Zim Integrated Shpg.
Container,CSAV Toconao,8704 ,TEU,116384 ,96628 ,Liberia,2013 ,6 ,Daewoo-Mangalia,Zodiac Maritime Agy
Container,CSAV Trancura,8704 ,TEU,116384 ,96628 ,Liberia,2013 ,12 ,Daewoo-Mangalia,Eastern Pacific Shpg
Container,CSAV Tyndall,8704 ,TEU,116384 ,96628 ,Liberia,2014 ,4 ,Daewoo-Mangalia,Zodiac Maritime Agy
Container,Zim Antwerp,10062 ,TEU,116294 ,114044 ,Liberia,2009 ,12 ,Hyundai Samho HI,Zim Integrated Shpg.
Container,CSAV Traiguen,8704 ,TEU,116079 ,96628 ,Liberia,2013 ,9 ,Daewoo-Mangalia,Zodiac Maritime Agy
Container,Gerner Maersk,9038 ,TEU,115993 ,98268 ,Danish Int'l Register,2008 ,4 ,Odense Lindo,A.P. Moller
Container,Gunde Maersk,9038 ,TEU,115993 ,98268 ,Danish Int'l Register,2008 ,6 ,Odense Lindo,A.P. Moller
Container,Gunhilde Maersk,9038 ,TEU,115993 ,98268 ,Danish Int'l Register,2008 ,8 ,Odense Lindo,A.P. Moller
Container,Gustav Maersk,9038 ,TEU,115993 ,98268 ,Danish Int'l Register,2008 ,10 ,Odense Lindo,A.P. Moller
Container,Guthorm Maersk,9038 ,TEU,115993 ,98268 ,Danish Int'l Register,2009 ,1 ,Odense Lindo,A.P. Moller
Container,Gerda Maersk,9038 ,TEU,115993 ,98268 ,Danish Int'l Register,2009 ,2 ,Odense Lindo,A.P. Moller
Container,Gudrun Maersk,9074 ,TEU,115700 ,97933 ,Danish Int'l Register,2005 ,6 ,Odense Lindo,A.P. Moller
Container,Grete Maersk,9074 ,TEU,115700 ,97933 ,Danish Int'l Register,2005 ,8 ,Odense Lindo,A.P. Moller
Container,Gunvor Maersk,9074 ,TEU,115700 ,97933 ,Danish Int'l Register,2005 ,10 ,Odense Lindo,A.P. Moller
Container,Gjertrud Maersk,9074 ,TEU,115700 ,97933 ,Danish Int'l Register,2005 ,12 ,Odense Lindo,A.P. Moller
Container,Gerd Maersk,9074 ,TEU,115700 ,97933 ,Danish Int'l Register,2006 ,2 ,Odense Lindo,A.P. Moller
Container,Georg Maersk,9074 ,TEU,115700 ,97933 ,Danish Int'l Register,2006 ,4 ,Odense Lindo,A.P. Moller
Container,MOL Breeze,10000 ,TEU,115396 ,113042 ,Hong Kong,2014 ,11 ,Yangzi Xinfu S.B.,Seaspan Corporation
Container,Hanjin Namu,10000 ,TEU,115318 ,113042 ,Hong Kong,2014 ,5 ,Jiangsu New YZJ,Seaspan Corporation
Container,MOL Brightness,10000 ,TEU,115308 ,113042 ,Hong Kong,2014 ,10 ,Yangzi Xinfu S.B.,Seaspan Corporation
Container,Hanjin Jungil,10000 ,TEU,115304 ,113042 ,Hong Kong,2014 ,4 ,Yangzi Xinfu S.B.,Seaspan Corporation
Container,Hanjin Ami,10000 ,TEU,115260 ,113042 ,Hong Kong,2014 ,6 ,Jiangsu New YZJ,Seaspan Corporation
Container,MOL Bravo,10000 ,TEU,115231 ,113042 ,Hong Kong,2014 ,7 ,Yangzi Xinfu S.B.,Seaspan Corporation
Container,MOL Brilliance,10000 ,TEU,115177 ,113042 ,Hong Kong,2014 ,10 ,Yangzi Xinfu S.B.,Seaspan Corporation
