Type,Name,Size,Unit,Dwt,GT,Flag,Built,Month,Builder,OwnerGroup
Container,Barzan,18800 ,TEU,199744 ,195636 ,Malta,2015 ,5 ,Hyundai Samho HI,United Arab Shpg.
Container,MSC Oscar,19224 ,TEU,199272 ,192237 ,Panama,2015 ,1 ,Daewoo (DSME),BoCom Leasing
Container,MSC Oliver,19224 ,TEU,199272 ,192237 ,Panama,2015 ,3 ,Daewoo (DSME),BoCom Leasing
Container,MSC Zoe,19224 ,TEU,199272 ,192237 ,Panama,2015 ,6 ,Daewoo (DSME),BoCom Leasing
Container,Marie Maersk,18270 ,TEU,196000 ,194849 ,Danish Int'l Register,2013 ,10 ,Daewoo (DSME),A.P. Moller
Container,Maribo Maersk,18270 ,TEU,196000 ,194849 ,Danish Int'l Register,2014 ,4 ,Daewoo (DSME),A.P. Moller
Container,Mayview Maersk,18270 ,TEU,196000 ,194849 ,Danish Int'l Register,2014 ,7 ,Daewoo (DSME),A.P. Moller
Container,Merete Maersk,18270 ,TEU,196000 ,194849 ,Danish Int'l Register,2014 ,8 ,Daewoo (DSME),A.P. Moller
Container,Morten Maersk,18270 ,TEU,196000 ,194849 ,Danish Int'l Register,2014 ,11 ,Daewoo (DSME),A.P. Moller
Container,Mette Maersk,18270 ,TEU,196000 ,194849 ,Danish Int'l Register,2015 ,5 ,Daewoo (DSME),A.P. Moller
Container,Marit Maersk,18270 ,TEU,196000 ,194849 ,Danish Int'l Register,2015 ,6 ,Daewoo (DSME),A.P. Moller
Container,Maren Maersk,18270 ,TEU,195118 ,194849 ,Danish Int'l Register,2014 ,12 ,Daewoo (DSME),A.P. Moller
Container,Margrethe Maersk,18270 ,TEU,195071 ,194849 ,Danish Int'l Register,2015 ,4 ,Daewoo (DSME),A.P. Moller
Container,Mathilde Maersk,18270 ,TEU,194934 ,194849 ,Danish Int'l Register,2015 ,6 ,Daewoo (DSME),A.P. Moller
Container,Marchen Maersk,18270 ,TEU,194898 ,194849 ,Danish Int'l Register,2015 ,5 ,Daewoo (DSME),A.P. Moller
Container,Marstal Maersk,18270 ,TEU,194692 ,194849 ,Danish Int'l Register,2014 ,5 ,Daewoo (DSME),A.P. Moller
Container,Munkebo Maersk,18270 ,TEU,194690 ,194849 ,Danish Int'l Register,2014 ,12 ,Daewoo (DSME),A.P. Moller
Container,Mogens Maersk,18270 ,TEU,194679 ,194849 ,Danish Int'l Register,2014 ,9 ,Daewoo (DSME),A.P. Moller
Container,Majestic Maersk,18270 ,TEU,194431 ,194849 ,Danish Int'l Register,2013 ,8 ,Daewoo (DSME),A.P. Moller
Container,Magleby Maersk,18270 ,TEU,194417 ,194849 ,Danish Int'l Register,2014 ,2 ,Daewoo (DSME),A.P. Moller
Container,Madison Maersk,18270 ,TEU,194394 ,194849 ,Danish Int'l Register,2014 ,1 ,Daewoo (DSME),A.P. Moller
Container,Matz Maersk,18270 ,TEU,194284 ,194849 ,Danish Int'l Register,2014 ,6 ,Daewoo (DSME),A.P. Moller
Container,Mary Maersk,18270 ,TEU,194252 ,194849 ,Danish Int'l Register,2013 ,9 ,Daewoo (DSME),A.P. Moller
Container,Maersk Mc-Kinney Moller,18270 ,TEU,194153 ,194849 ,Danish Int'l Register,2013 ,7 ,Daewoo (DSME),A.P. Moller
Container,CMA CGM Kerguelen,17722 ,TEU,186745 ,175688 ,United Kingdom,2015 ,3 ,Samsung HI,CMA-CGM
Container,CMA CGM Georg Forster,17722 ,TEU,186745 ,175688 ,United Kingdom,2015 ,6 ,Samsung HI,CMA-CGM
Container,MSC London,15908 ,TEU,186649 ,176490 ,Liberia,2014 ,7 ,STX SB (Goseong),Zodiac Maritime Agy
Container,MSC New York,15908 ,TEU,186649 ,176490 ,Panama,2014 ,10 ,STX SB (Goseong),Zodiac Maritime Agy
Container,MSC Istanbul,15908 ,TEU,186649 ,176490 ,Panama,2015 ,1 ,STX SB (Goseong),Eastern Pacific Shpg
Container,MSC Amsterdam,15908 ,TEU,186649 ,176490 ,Panama,2015 ,4 ,STX SB (Goseong),Zodiac Maritime Agy
Container,CMA CGM Marco Polo,16020 ,TEU,186470 ,175343 ,United Kingdom,2012 ,11 ,Daewoo (DSME),CMA-CGM
Container,CMA CGM Alexander Von Humboldt,16020 ,TEU,186470 ,175343 ,United Kingdom,2013 ,4 ,Daewoo (DSME),CMA-CGM
Container,CMA CGM Jules Verne,16020 ,TEU,186470 ,175343 ,France,2013 ,4 ,Daewoo (DSME),CMA-CGM
Container,CMA CGM Vasco De Gama,17859 ,TEU,185000 ,178228 ,United Kingdom,2015 ,7 ,Shanghai Waigaoqiao,CSSC
Container,CSCL Globe,19100 ,TEU,184320 ,187541 ,Hong Kong,2014 ,11 ,Hyundai HI,China Shipping Group
Container,CSCL Pacific Ocean,19100 ,TEU,184320 ,187541 ,Hong Kong,2014 ,12 ,Hyundai HI,China Shipping Group
Container,CSCL Atlantic Ocean,19100 ,TEU,184320 ,187541 ,Hong Kong,2015 ,5 ,Hyundai HI,China Shipping Group
Container,CSCL Indian Ocean,19100 ,TEU,184320 ,187541 ,Hong Kong,2015 ,1 ,Hyundai HI,China Shipping Group
Container,CSCL Arctic Ocean,19100 ,TEU,184320 ,187541 ,Hong Kong,2015 ,3 ,Hyundai HI,China Shipping Group
Container,MSC Deila,14000 ,TEU,166093 ,153115 ,Panama,2012 ,4 ,Daewoo (DSME),MSC
Container,MSC Taranto,14036 ,TEU,166085 ,153115 ,Liberia,2011 ,5 ,Daewoo (DSME),Reederei C-P Offen
Container,MSC Genova,14036 ,TEU,166041 ,153115 ,Liberia,2010 ,6 ,Daewoo (DSME),Reederei C-P Offen
Container,MSC Rosa M,14000 ,TEU,165991 ,153115 ,Panama,2010 ,12 ,Daewoo (DSME),MSC
Container,MSC La Spezia,14036 ,TEU,165977 ,153115 ,Germany,2010 ,10 ,Daewoo (DSME),Reederei C-P Offen
Container,MSC Valeria,14000 ,TEU,165967 ,153115 ,Panama,2012 ,6 ,Daewoo (DSME),MSC
Container,MSC Ravenna,14036 ,TEU,165963 ,153115 ,Liberia,2011 ,7 ,Daewoo (DSME),Reederei C-P Offen
Container,MSC Livorno,14036 ,TEU,165918 ,153115 ,Germany,2010 ,12 ,Daewoo (DSME),Reederei C-P Offen
Container,MSC Bari,14036 ,TEU,165905 ,153115 ,Liberia,2011 ,1 ,Daewoo (DSME),Reederei C-P Offen
Container,MSC Savona,14036 ,TEU,165887 ,153115 ,Liberia,2010 ,3 ,Daewoo (DSME),Reederei C-P Offen
Container,MSC Alexandra,14000 ,TEU,165887 ,153115 ,Panama,2010 ,4 ,Daewoo (DSME),MSC
Container,MSC Camille,13200 ,TEU,165844 ,153092 ,Panama,2009 ,6 ,Daewoo (DSME),MSC
Container,MSC Sonia,13200 ,TEU,165691 ,153092 ,Panama,2010 ,4 ,Daewoo (DSME),MSC
Container,MSC Danit,13200 ,TEU,165517 ,153092 ,Panama,2009 ,3 ,Daewoo (DSME),MSC
Container,MSC Melatilde,13200 ,TEU,165500 ,153092 ,Panama,2010 ,6 ,Daewoo (DSME),MSC
Container,MSC Paloma,13200 ,TEU,165500 ,153092 ,Panama,2010 ,8 ,Daewoo (DSME),MSC
Container,Sajir,14500 ,TEU,160000 ,153148 ,Marshall Islands,2014 ,12 ,Hyundai HI,United Arab Shpg.
Container,CMA CGM Magellan,13880 ,TEU,157254 ,150269 ,United Kingdom,2010 ,9 ,Daewoo (DSME),CMA-CGM
Container,Emma Maersk,15550 ,TEU,156907 ,170794 ,Danish Int'l Register,2006 ,8 ,Odense Lindo,A.P. Moller
Container,Estelle Maersk,15550 ,TEU,156907 ,170794 ,Danish Int'l Register,2006 ,11 ,Odense Lindo,A.P. Moller
Container,Eleonora Maersk,15550 ,TEU,156907 ,170794 ,Danish Int'l Register,2006 ,11 ,Odense Lindo,A.P. Moller
Container,Evelyn Maersk,15550 ,TEU,156907 ,170794 ,Danish Int'l Register,2007 ,3 ,Odense Lindo,A.P. Moller
Container,Ebba Maersk,15550 ,TEU,156907 ,170794 ,Danish Int'l Register,2007 ,5 ,Odense Lindo,A.P. Moller
Container,Elly Maersk,15550 ,TEU,156907 ,170794 ,Danish Int'l Register,2007 ,8 ,Odense Lindo,A.P. Moller
Container,Edith Maersk,15550 ,TEU,156907 ,170794 ,Danish Int'l Register,2007 ,11 ,Odense Lindo,A.P. Moller
Container,Eugen Maersk,15550 ,TEU,156907 ,170794 ,Danish Int'l Register,2008 ,2 ,Odense Lindo,A.P. Moller
Container,CMA CGM Christophe Colomb,13880 ,TEU,156887 ,152991 ,France,2009 ,11 ,Daewoo (DSME),CMA-CGM
Container,CMA CGM Amerigo Vespucci,13880 ,TEU,156887 ,152991 ,France,2010 ,7 ,Daewoo (DSME),CMA-CGM
Container,CMA CGM Corte Real,13880 ,TEU,156887 ,152991 ,United Kingdom,2010 ,8 ,Daewoo (DSME),CMA-CGM
Container,CMA CGM Laperouse,13880 ,TEU,156887 ,152991 ,France,2010 ,9 ,Daewoo (DSME),CMA-CGM
Container,COSCO Denmark,13386 ,TEU,156694 ,153666 ,Hong Kong,2014 ,9 ,Nantong COSCO KHI,COSCO Group
Container,COSCO Italy,13386 ,TEU,156605 ,153666 ,Hong Kong,2014 ,4 ,Nantong COSCO KHI,COSCO Group
Container,COSCO Portugal,13386 ,TEU,156605 ,153666 ,Hong Kong,2014 ,7 ,Nantong COSCO KHI,COSCO Group
Container,COSCO Belgium,13386 ,TEU,156605 ,153666 ,Hong Kong,2013 ,2 ,Nantong COSCO KHI,COSCO Group
Container,COSCO France,13386 ,TEU,156605 ,153666 ,Hong Kong,2013 ,5 ,Nantong COSCO KHI,COSCO Group
Container,COSCO England,13386 ,TEU,156605 ,153666 ,Hong Kong,2013 ,8 ,Nantong COSCO KHI,COSCO Group
Container,COSCO Netherlands,13386 ,TEU,156605 ,153666 ,Hong Kong,2013 ,11 ,Nantong COSCO KHI,COSCO Group
Container,COSCO Spain,13386 ,TEU,156572 ,153666 ,Hong Kong,2014 ,2 ,Nantong COSCO KHI,COSCO Group
Container,MSC Daniela,13800 ,TEU,156301 ,151559 ,Panama,2008 ,12 ,Samsung HI,MSC
Container,MSC Beatrice,13800 ,TEU,156301 ,151559 ,Panama,2009 ,2 ,Samsung HI,MSC
Container,MSC Kalina,13800 ,TEU,156301 ,151559 ,Panama,2009 ,6 ,Samsung HI,MSC
Container,MSC Irene,13800 ,TEU,156301 ,151559 ,Panama,2010 ,7 ,Samsung HI,MSC
Container,MSC Emanuela,13800 ,TEU,156301 ,151559 ,Panama,2010 ,9 ,Samsung HI,MSC
Container,MSC Eva,13800 ,TEU,156301 ,151559 ,Panama,2010 ,9 ,Samsung HI,MSC
Container,MSC Gaia,13800 ,TEU,156301 ,151559 ,Panama,2010 ,10 ,Samsung HI,MSC
Container,MSC Bettina,13800 ,TEU,156131 ,151559 ,Panama,2010 ,7 ,Samsung HI,MSC
Container,CSCL Star,14074 ,TEU,155470 ,150853 ,Hong Kong,2011 ,1 ,Samsung HI,China Shipping Group
Container,CSCL Venus,14074 ,TEU,155470 ,150853 ,Hong Kong,2011 ,4 ,Samsung HI,China Shipping Group
Container,CSCL Jupiter,14074 ,TEU,155470 ,150853 ,Hong Kong,2011 ,5 ,Samsung HI,China Shipping Group
Container,CSCL Mercury,14074 ,TEU,155470 ,150853 ,Hong Kong,2011 ,7 ,Samsung HI,China Shipping Group
Container,CSCL Mars,14074 ,TEU,155470 ,150853 ,Hong Kong,2011 ,10 ,Samsung HI,China Shipping Group
Container,CSCL Saturn,14074 ,TEU,155470 ,150853 ,Hong Kong,2011 ,12 ,Samsung HI,China Shipping Group
Container,CSCL Uranus,14074 ,TEU,155470 ,150853 ,Hong Kong,2012 ,3 ,Samsung HI,China Shipping Group
Container,CSCL Neptune,14074 ,TEU,155470 ,150853 ,Hong Kong,2012 ,5 ,Samsung HI,China Shipping Group
Container,MSC Trieste,13050 ,TEU,154538 ,143521 ,Malta,2011 ,12 ,Daewoo (DSME),Reederei C-P Offen
