Type,Name,Size,Unit,Dwt,GT,Flag,Built,Month,Builder,OwnerGroup
Container,Agamemnon,7943 ,TEU,103773 ,89776 ,Liberia,2007 ,1 ,Daewoo (DSME),Capital Maritime
Container,Archimidis,7943 ,TEU,103717 ,89776 ,Liberia,2006 ,5 ,Daewoo (DSME),Capital Maritime
Container,Dalian Express,7179 ,TEU,100019 ,88493 ,Germany,2001 ,10 ,Hyundai HI,Hapag-Lloyd
Container,Yantian Express,7179 ,TEU,100019 ,88493 ,Germany,2002 ,3 ,Hyundai HI,Hapag-Lloyd
Container,Ningbo Express,7179 ,TEU,100019 ,88493 ,Germany,2002 ,10 ,Hyundai HI,Hapag-Lloyd
Container,Berlin Express,7179 ,TEU,100019 ,88493 ,Germany,2003 ,3 ,Hyundai HI,Hapag-Lloyd
Container,Maersk Lima,7450 ,TEU,94267 ,88237 ,Hong Kong,2011 ,4 ,Daewoo (DSME),A.P. Moller
Container,Maersk Lirquen,7450 ,TEU,94267 ,88237 ,Hong Kong,2011 ,5 ,Daewoo (DSME),A.P. Moller
Container,Maersk La Paz,7450 ,TEU,94267 ,88237 ,Hong Kong,2011 ,7 ,Daewoo (DSME),A.P. Moller
Container,Maersk Luz,7450 ,TEU,94267 ,88237 ,Hong Kong,2011 ,7 ,Daewoo (DSME),A.P. Moller
Container,Maersk Leticia,7450 ,TEU,94267 ,88237 ,Hong Kong,2011 ,9 ,Daewoo (DSME),A.P. Moller
Container,Maersk Lavras,7450 ,TEU,94267 ,88236 ,Hong Kong,2011 ,11 ,Daewoo (DSME),A.P. Moller
Container,Maersk Lebu,7450 ,TEU,94267 ,88237 ,Hong Kong,2011 ,12 ,Daewoo (DSME),A.P. Moller
Container,Maersk Laguna,7450 ,TEU,94267 ,88237 ,Singapore,2012 ,1 ,Daewoo (DSME),A.P. Moller
Container,MSC Shenzhen,7455 ,TEU,93659 ,83133 ,Luxembourg,2004 ,9 ,Hyundai HI,Blue Star Holding
