Type,Name,Size,Unit,Dwt,GT,Flag,Built,Month,Builder,OwnerGroup
Container,Wehr Singapore,5089 ,TEU,68483 ,54193 ,Marshall Islands,2005 ,12 ,Hanjin HI (Yeongdo),Oskar Wehr
Container,Maersk Denpasar,5085 ,TEU,68463 ,54675 ,Liberia,2008 ,1 ,Hanjin HI (Yeongdo),NSC Schiffahrt
Container,Maersk Damietta,5085 ,TEU,68463 ,54675 ,Liberia,2008 ,3 ,Hanjin HI (Yeongdo),NSC Schiffahrt
Container,Maersk Danang,5085 ,TEU,68463 ,54675 ,Liberia,2008 ,5 ,Hanjin HI (Yeongdo),NSC Schiffahrt
Container,Maersk Dhahran,5085 ,TEU,68383 ,54193 ,Liberia,2008 ,7 ,Hanjin HI (Yeongdo),NSC Schiffahrt
Container,Wehr Hong Kong,5089 ,TEU,68383 ,54193 ,Marshall Islands,2006 ,2 ,Hanjin HI (Yeongdo),Oskar Wehr
Container,MSC Ornella,5059 ,TEU,68372 ,54304 ,Panama,2004 ,4 ,Hanjin HI (Yeongdo),MSC
Container,MSC Lisa,5059 ,TEU,68372 ,54304 ,Panama,2004 ,5 ,Hanjin HI (Yeongdo),MSC
Container,MSC Ela,5059 ,TEU,68372 ,54304 ,Panama,2004 ,6 ,Hanjin HI (Yeongdo),MSC
Container,MSC Ans,5059 ,TEU,68372 ,54304 ,Panama,2004 ,7 ,Hanjin HI (Yeongdo),MSC
Container,CMA CGM Alcazar,5089 ,TEU,68282 ,54778 ,Panama,2007 ,11 ,Hanjin HI (Yeongdo),Global Ship Lease
Container,CMA CGM Chateau d'If,5089 ,TEU,68281 ,54778 ,Cyprus,2007 ,12 ,Hanjin HI (Yeongdo),Global Ship Lease
Container,MSC Eleni,5059 ,TEU,68254 ,54881 ,Panama,2004 ,2 ,Hanjin HI (Yeongdo),MSC
Container,MSC Nerissa,5059 ,TEU,68254 ,54881 ,Panama,2004 ,3 ,Hanjin HI (Yeongdo),MSC
Container,COSCO Boston,5050 ,TEU,68240 ,54778 ,Panama,2007 ,7 ,Hanjin HI (Yeongdo),COSCO Group
Container,COSCO New York,5050 ,TEU,68235 ,54778 ,Panama,2007 ,9 ,Hanjin HI (Yeongdo),COSCO Group
Container,MSC Romanos,5050 ,TEU,68209 ,54881 ,Hong Kong,2003 ,9 ,Hanjin HI (Yeongdo),Costamare Shipping
Container,Ital Lirica,5090 ,TEU,68138 ,54152 ,Italy,2007 ,4 ,Hanjin HI (Yeongdo),Niki Shpg Co Inc
Container,Box Emma,5059 ,TEU,68120 ,54881 ,Marshall Islands,2004 ,1 ,Hanjin HI (Yeongdo),Allseas Marine S. A.
Container,Ital Laguna,5090 ,TEU,68038 ,54152 ,Italy,2006 ,11 ,Hanjin HI (Yeongdo),Niki Shpg Co Inc
Container,Ital Lunare,5090 ,TEU,68009 ,54152 ,Italy,2007 ,5 ,Hanjin HI (Yeongdo),Niki Shpg Co Inc
Container,Ital Libera,5090 ,TEU,67986 ,54152 ,Italy,2007 ,2 ,Hanjin HI (Yeongdo),Niki Shpg Co Inc
Container,HH Emilia,4626 ,TEU,67680 ,53833 ,Liberia,1991 ,9 ,Samsung S.B (Busan),Konig & Cie.
Container,HH Johanna,4626 ,TEU,67680 ,53783 ,Liberia,1991 ,5 ,Samsung S.B (Busan),Konig & Cie.
Container,Kalliopi R C,4626 ,TEU,67680 ,53833 ,Liberia,1991 ,4 ,Samsung HI,Konig & Cie.
Container,Dimitrios C,4639 ,TEU,67680 ,53833 ,Liberia,1992 ,3 ,Samsung HI,Konig & Cie.
Container,HH Nikol C.,4626 ,TEU,67680 ,53815 ,Liberia,1993 ,10 ,Samsung HI,Konig & Cie.
Container,MSC Roberta,4626 ,TEU,67680 ,53815 ,Liberia,1993 ,12 ,Samsung S.B (Busan),Chartworld Shpg.
Container,MSC Ingrid,4392 ,TEU,67678 ,53208 ,Panama,1999 ,7 ,Samsung HI,MSC
Container,MSC Matilde,4392 ,TEU,67615 ,53208 ,Panama,1999 ,8 ,Samsung HI,MSC
Container,Charles Dickens,4992 ,TEU,67601 ,54271 ,Liberia,2005 ,9 ,Hanjin HI (Yeongdo),NVA Norddeutsche
Container,MSC Sarah,4395 ,TEU,67600 ,53208 ,Malta,2000 ,1 ,Samsung HI,MSC
Container,ALM Wodonga,5060 ,TEU,67550 ,54214 ,Cyprus,2006 ,4 ,Hanjin HI (Yeongdo),Seacastle Inc.
Container,SCT Santiago,5060 ,TEU,67550 ,54214 ,Marshall Islands,2006 ,6 ,Hanjin HI (Yeongdo),Seacastle Inc.
Container,SC Mara,5060 ,TEU,67550 ,54214 ,Marshall Islands,2006 ,7 ,Hanjin HI (Yeongdo),Seacastle Inc.
Container,SCT Zurich,5060 ,TEU,67550 ,54214 ,Marshall Islands,2006 ,9 ,Hanjin HI (Yeongdo),Seacastle Inc.
Container,Pinehurst Kontor,5060 ,TEU,67550 ,54214 ,Marshall Islands,2004 ,8 ,Hanjin HI (Yeongdo),Rickmers Group
Container,Augusta Kontor,5060 ,TEU,67550 ,54214 ,Marshall Islands,2004 ,10 ,Hanjin HI (Yeongdo),Rickmers Group
Container,Kaethe C. Rickmers,5060 ,TEU,67550 ,54214 ,Marshall Islands,2004 ,11 ,Hanjin HI (Yeongdo),Rickmers Group
Container,Margrit Rickmers,5060 ,TEU,67550 ,54214 ,Liberia,2005 ,1 ,Hanjin HI (Yeongdo),Rickmers Group
