 mmsi     imo callsign speed powerkw    dwt grosston mlength  beam draft   type_en
 1: 218744000 9348065    DFWV2  23.3      NA  71273    69132  272.00 40.00 13.20 Container
 2: 235062343 9351127    2ARK9  23.5      NA  65890    54309  294.10 32.20 13.50 Container
 3: 636014222 9398450    A8SI8  24.8      NA 116499   114044  349.00 45.73 15.00 Container
 4: 235067192 9351141    2BLN2  23.5      NA  65890    54309  294.10 32.20 13.50 Container
 5: 353289000 9372482    3EPY8  24.8      NA  72900    66399  277.30 40.00 14.50 Container
 6: 636014221 9398412    A8SI7  25.6      NA 108464    91158  334.00 42.92 14.50 Container
 7: 371969000 9461465    3FFF5  25.2      NA 102518    91621  335.63 42.80 14.52 Container
 8: 636014224 9398462    A8SJ2  24.8      NA 116440   114044  349.00 45.73 15.00 Container
 9: 218186000 9400136    DFZB2  24.0      NA  63638    50963  275.06 32.20 13.50 Container
10: 477963800 9466867    VRHM7  24.1      NA 155470   150853  366.07 51.20 15.50 Container
11: 218560000 9348053    DFTH2  23.3      NA  71256    69132  272.05 40.00 13.20 Container
12: 636091450 9399741    A8OA2  21.3      NA  34700    32901  224.20 30.50 12.20 Container
13: 636015131 9464247    A8YT7    NA   31076  51440    41391  262.00 32.20 12.50 Container
14: 354778000 9461489     3FDB  25.2      NA 102539    91621  335.63 42.80 14.52 Container
15: 218764000 9348077    DGOH2  23.3      NA  64847    69132  271.94 40.00 13.20 Container
16: 356941000 9461477    3EBW5  25.2      NA 102529    91621  335.63 42.80 14.52 Container
17: 636014220 9398448    A8SI6  24.8      NA 116294   114044  349.00 45.73 15.00 Container
18: 218161000 9400112    DFZA2  24.0      NA  63355    50963  274.98 32.20 13.50 Container
19: 351687000 9461506    3EFO6  25.2      NA 102518    91621  335.63 42.80 14.52 Container
20: 235065043 9351139    2BCY3  26.1      NA  65890    54309  294.10 32.20 13.50 Container
21: 636014217 9398395    A8SI3  25.6      NA 108574    91158  334.00 42.92 14.50 Container
22: 354840000 9461491    3EZX3  25.2      NA 102455    91621  335.63 42.80 14.52 Container
23: 515315000 9258210    XURM8    NA     829   2212     1510   75.00 13.40  4.45 Container
24: 218670000 9425382    DIOY2  22.2      NA  93404    85676  299.95 42.80 13.50 Container
25: 636091749 9399791    A8SF5  21.3      NA  35377    32901  224.20 30.50 12.00 Container
         mmsi     imo callsign speed powerkw    dwt grosston mlength  beam draft   type_en
