"","gid","gid","N","lon","lat"
"1","121.5824_31.3738","121.5824_31.3738",873,121.5824,31.3738
"2","121.5823_31.3738","121.5823_31.3738",281,121.5823,31.3738
"3","121.5823_31.3739","121.5823_31.3739",323,121.5823,31.3739
"4","121.5825_31.3738","121.5825_31.3738",283,121.5825,31.3738
"5","121.5824_31.3739","121.5824_31.3739",616,121.5824,31.3739
"6","121.5826_31.3738","121.5826_31.3738",1773,121.5826,31.3738
"7","121.5823_31.374","121.5823_31.374",1181,121.5823,31.374
"8","121.5824_31.3737","121.5824_31.3737",33,121.5824,31.3737
"9","121.5825_31.3739","121.5825_31.3739",799,121.5825,31.3739
"10","121.5826_31.3739","121.5826_31.3739",821,121.5826,31.3739
"11","121.5825_31.3737","121.5825_31.3737",40,121.5825,31.3737
"12","121.5819_31.3736","121.5819_31.3736",1,121.5819,31.3736
"13","121.5825_31.374","121.5825_31.374",1223,121.5825,31.374
"14","121.5827_31.3739","121.5827_31.3739",586,121.5827,31.3739
"15","121.5827_31.374","121.5827_31.374",527,121.5827,31.374
"16","121.5824_31.374","121.5824_31.374",1478,121.5824,31.374
"17","121.5841_31.3731","121.5841_31.3731",853,121.5841,31.3731
"18","121.584_31.3731","121.584_31.3731",326,121.584,31.3731
"19","121.584_31.3732","121.584_31.3732",610,121.584,31.3732
"20","121.5846_31.3729","121.5846_31.3729",620,121.5846,31.3729
"21","121.5842_31.3731","121.5842_31.3731",730,121.5842,31.3731
"22","121.5839_31.3731","121.5839_31.3731",58,121.5839,31.3731
"23","121.5838_31.3733","121.5838_31.3733",880,121.5838,31.3733
"24","121.5843_31.373","121.5843_31.373",270,121.5843,31.373
"25","121.5843_31.3731","121.5843_31.3731",1366,121.5843,31.3731
"26","121.584_31.3733","121.584_31.3733",1758,121.584,31.3733
"27","121.5842_31.3732","121.5842_31.3732",568,121.5842,31.3732
"28","121.5841_31.3732","121.5841_31.3732",519,121.5841,31.3732
"29","121.5841_31.373","121.5841_31.373",41,121.5841,31.373
"30","121.584_31.373","121.584_31.373",8,121.584,31.373
"31","121.584_31.3729","121.584_31.3729",9,121.584,31.3729
"32","121.5839_31.3733","121.5839_31.3733",935,121.5839,31.3733
"33","121.5839_31.373","121.5839_31.373",4,121.5839,31.373
"34","121.5839_31.3732","121.5839_31.3732",256,121.5839,31.3732
"35","121.5841_31.3733","121.5841_31.3733",436,121.5841,31.3733
"36","121.5839_31.3729","121.5839_31.3729",3,121.5839,31.3729
"37","121.5842_31.3729","121.5842_31.3729",41,121.5842,31.3729
"38","121.5842_31.3733","121.5842_31.3733",106,121.5842,31.3733
"39","121.5841_31.3729","121.5841_31.3729",16,121.5841,31.3729
"40","121.5846_31.3731","121.5846_31.3731",522,121.5846,31.3731
"41","121.5839_31.3734","121.5839_31.3734",697,121.5839,31.3734
"42","121.5842_31.373","121.5842_31.373",87,121.5842,31.373
"43","121.5841_31.3737","121.5841_31.3737",30,121.5841,31.3737
"44","121.587_31.3719","121.587_31.3719",1399,121.587,31.3719
"45","121.5869_31.372","121.5869_31.372",856,121.5869,31.372
"46","121.5869_31.3719","121.5869_31.3719",654,121.5869,31.3719
"47","121.587_31.3718","121.587_31.3718",72,121.587,31.3718
"48","121.5868_31.3719","121.5868_31.3719",66,121.5868,31.3719
"49","121.5868_31.372","121.5868_31.372",715,121.5868,31.372
"50","121.587_31.372","121.587_31.372",1426,121.587,31.372
"51","121.5871_31.3719","121.5871_31.3719",2420,121.5871,31.3719
"52","121.5867_31.3717","121.5867_31.3717",2,121.5867,31.3717
"53","121.5867_31.3721","121.5867_31.3721",348,121.5867,31.3721
"54","121.5868_31.3721","121.5868_31.3721",655,121.5868,31.3721
